Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
Biologie,die,,noun,biology,জীববিজ্ঞান,,,,,
Chemie,die,,noun,chemistry,রসায়ন,,,,,
Geografie,die,,noun,geography,ভূগোল,,,,,
Geschichte,die,,noun,history,ইতিহাস,,,,,
Mathe(matik),die,,noun,mathematics,গণিত,,,,,
Musik,die,,noun,music,সঙ্গীত,,,,,
Philosophie,die,,noun,philosophy,দর্শন,,,,,
Physik,die,,noun,physics,পদার্থবিজ্ঞান,,,,,
Sport,der,,noun,sport/physical education,খেলাধুলা/শারীরিক শিক্ষা,,,,,
